UniqueID,Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (degC),Program Used 0/1,Mass CO2 Used (lbs),Extraction Efficiency THC,Extraction Efficiency CBD,Extraction Efficiency CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent % (as is) THC,Spent % (as is) CBD,Spent % (as is) CBN,Decarb % (as is) THC,Decarb % (as is) CBD,Decarb % (as is) CBN
95,MB,,776,3,120,1,5000,65,1,68,0.9643,0.9745,0.9571,1618,1373,0.1514,0.13,0.197,0.007,3.642,7.716,0.163
96,HB,,784,1,120,1,5000,65,1,72,0.8714,1,0.8491,1673,1374,0.1787,2.019,0,0.016,15.702,0.037,0.106
97,HB,,784,3,120,1,5000,65,1,72.5,0.9658,1,1,1821.5,1470.5,0.1927,0.537,0,0,15.702,0.037,0.106
99,HB,,784,6,120,2,5000,65,1,63,0.9095,1,1,1590.5,1292,0.1877,1.421,0,0,15.702,0.037,0.106
101,TI,1,804,1,130,1,5000,65,1,63.5,0.9647,0.9787,0,1631,1335.5,0.1812,0.014,0.236,0,0.397,11.092,0
102,TI,1,804,2,140,2,5000,65,1,81,0.9547,0.9828,0,1691,1376.5,0.186,0.018,0.191,0,0.397,11.092,0
103,TI,1,804,3,140,1,5000,65,1,72.5,0.9547,0.9788,0,1699.5,1376.5,0.1901,0.018,0.235,0,0.397,11.092,0
105,TI,1,805,1,140,1,5000,65,1,68,0.89,0.9394,0,1580,1323,0.1627,0.043,0.53,0,0.391,8.741,0
106,TI,1,805,2,140,1,5000,65,1,51.5,0.9463,0.9628,0,1676,1370,0.1826,0.021,0.325,0,0.391,8.741,0
108,TI,1,805,4,140,1,5000,65,1,66.5,0.9488,0.9657,0,1321.5,1036.5,0.2157,0.02,0.3,0,0.391,8.741,0
109,TI,1,806,2,120,2,5000,65,1,59.5,0.9752,0.9804,1,1610.5,1337,0.1698,0.01,0.227,0,0.404,11.6,0.01
110,TI,1,806,3,120,1,5000,65,1,71.5,0.9752,0.9796,1,1630,1334.5,0.1813,0.01,0.237,0,0.404,11.6,0.01
