,,,,0= No,,,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Input Field,,,,,Autopopulate,,,,,,,,,,,,Extraction Efficiency,,,,,,,Spent % (as is),,,Output % (anhydrous),,,,Decarb % (as is),,,Input % (anhydrous),,
UniqueID,Extraction Date (yyyy/mm/dd),Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (°C),Program Used 0/1,Mass CO2 Used (lbs),CO2 Used (kg),kg CO2/min,Marble Diffuser (1/0),Notes,massCO2/g THC,massCO2/g CBD,massCO2/g CBN,THC,CBD,CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent Moisture,THC,CBD,CBN,THC,CBD,CBN,Decarb Moisture,THC,CBD,CBN,THC,CBD,CBN
1,09/01/2018,BW,,338,5,120,1,5000,65,,70.5,32,0.267,0,,,,,-,-,-,1634,1260.5,22.90%,0.0109,,,,,,,0.0109,0.067116614,0.112859028,0.001028113,0.067116614,0.112859028,0.001028113
2,09/01/2018,BW,,338,6,120,2,5000,65,,61,27.7,0.231,1,,,,,-,-,-,1506,1149.5,23.70%,0.0132,,,,,,,0.0132,0.067116614,0.112859028,0.001028113,0.067116614,0.112859028,0.001028113
3,10/01/2018,BW,,339,1,120,1,5000,65,1,75.5,34.3,0.286,1,,,,,-,-,-,1293,1078,16.60%,0.013,,,,,,,0.013,0.049698887,0.080616515,0.001632132,0.049698887,0.080616515,0.001632132
4,10/01/2018,BW,,339,2,120,2,5000,65,1,55.5,25.2,0.21,1,,,,,-,-,-,1356.5,1161,14.40%,0.0142,,,,,,,0.0142,0.049698887,0.080616515,0.001632132,0.049698887,0.080616515,0.001632132
5,10/01/2018,BW,,339,3,120,,5000,65,1,,0,0,,,,,,-,-,-,1305,1113.5,14.70%,0.0142,,,,,,,0.0142,0.049698887,0.080616515,0.001632132,0.049698887,0.080616515,0.001632132
6,10/01/2018,BW,,339,4,120,,5000,65,1,,0,0,,,,,,-,-,-,1362.5,1149.5,15.60%,0.0123,,,,,,,0.0123,0.049698887,0.080616515,0.001632132,0.049698887,0.080616515,0.001632132
7,11/01/2018,BW,,339,5,120,2,5000,65,1,78.5,35.7,0.297,1,,,,,-,-,-,1351.5,1121.5,17.00%,0.0093,,,,,,,0.0093,0.049698887,0.080616515,0.001632132,0.049698887,0.080616515,0.001632132
8,11/01/2018,BW,,339,6,120,1,5000,65,1,38,17.3,0.144,1,,,,,-,-,-,1314,1102.5,16.10%,0.0084,,,,,,,0.0084,0.049698887,0.080616515,0.001632132,0.049698887,0.080616515,0.001632132
9,11/01/2018,BW,,339,7,60,1,5000,65,1,33.5,15.2,0.254,1,New smaller tanks were used. Only two tanks used,,,,-,-,-,379.5,319.5,15.80%,0.0171,,,,,,,0.0171,0.049698887,0.080616515,0.001632132,0.049698887,0.080616515,0.001632132
10,15/01/2018,JOG,,255,1,120,1,5000,65,1,92.5,42,0.35,0,decarbed cannabis was milled in July 2017- particle size is smaller than typical of more recent batches due to change in mill screen pore size. ,,,,-,-,-,1497,1190,20.50%,0.0183,,,,,,,0.0183,0.172869636,0.00050844,0.001932072,0.172869636,0.00050844,0.001932072
11,15/01/2018,JOG,,255,2,120,2,5000,65,1,50,22.7,0.189,0,,,,,-,-,-,1424,1189,16.50%,0.0133,,,,,,,0.0133,0.172869636,0.00050844,0.001932072,0.172869636,0.00050844,0.001932072
12,15/01/2018,JOG,,255,3,300,1,5000,65,1,74.5,33.9,0.113,0,extraction run simultaneously with JOG255run4,,,,-,-,-,1627,1410.5,13.30%,0.0257,,,,,,,0.0257,0.172869636,0.00050844,0.001932072,0.172869636,0.00050844,0.001932072
13,15/01/2018,JOG,,255,4,300,2,5000,65,1,74.5,33.9,0.113,0,extraction run simultaneously with JOG255run3,,,,-,-,-,1530,1192,22.10%,0.0153,,,,,,,0.0153,0.172869636,0.00050844,0.001932072,0.172869636,0.00050844,0.001932072
14,16/01/2018,JOG,,255,5,120,1,5000,65,1,64.5,29.3,0.244,0,Used two tanks only,,,,-,-,-,1568.5,1243.5,20.70%,0.0175,,,,,,,0.0175,0.172869636,0.00050844,0.001932072,0.172869636,0.00050844,0.001932072
15,16/01/2018,JOG,,255,6,60,2,5000,65,1,34,15.5,0.258,0,Used two tanks only,,,,-,-,-,448,369.5,17.50%,0.0123,,,,,,,0.0123,0.172869636,0.00050844,0.001932072,0.172869636,0.00050844,0.001932072
16,16/01/2018,JOG,,255,7,90,1,5000,65,0,24,10.9,0.121,0,Spent material input,,,,-,-,-,1367,1316.5,3.70%,0.0233,,,,,,,0.0233,0.172869636,0.00050844,0.001932072,0.172869636,0.00050844,0.001932072
17,16/01/2018,JOG,,255,8,50,2,5000,65,0,35.4,16.1,0.322,0,Spent material input,,,,-,-,-,1145,1103,3.60%,0.0261,,,,,,,0.0261,0.172869636,0.00050844,0.001932072,0.172869636,0.00050844,0.001932072
18,17/01/2018,JOG,,347,1,120,1,5000,65,1,53,24.1,0.201,1,,,,,-,-,-,1365,1148,15.90%,0.015,,,,,,,0.015,0.174092742,0.000683871,0.007410282,0.174092742,0.000683871,0.007410282
19,17/01/2018,JOG,,347,2,180,2,5000,65,1,97.5,44.3,0.246,,,,,,-,-,-,1495,1188,20.50%,0.0095,,,,,,,0.0095,0.174092742,0.000683871,0.007410282,0.174092742,0.000683871,0.007410282
20,17/01/2018,JOG,,347,3,,1,,,,,0,#DIV/0!,,,,,,-,-,-,1504,1287,14.40%,0.0159,,,,,,,0.0159,0.174092742,0.000683871,0.007410282,0.174092742,0.000683871,0.007410282
21,17/01/2018,JOG,,347,4,,2,,,,,0,#DIV/0!,,,,,,-,-,-,1454,1111,23.60%,0.0072,,,,,,,0.0072,0.174092742,0.000683871,0.007410282,0.174092742,0.000683871,0.007410282
22,18/01/2018,JOG,,347,5,180,1,5000,65,1,132,60,0.333,1,pairs of CO2 tanks staggered,,,,-,-,-,1072,845,21.10%,0.0069,,,,,,,0.0069,0.174092742,0.000683871,0.007410282,0.174092742,0.000683871,0.007410282
23,18/01/2018,JOG,,347,6,180,2,5000,65,1,43,19.5,0.109,1,,,,,-,-,-,654,513.5,21.50%,0.0129,,,,,,,0.0129,0.174092742,0.000683871,0.007410282,0.174092742,0.000683871,0.007410282
