UniqueID	Strain	CBD=1	Lot Number	Extraction Run	Time (mins)	Col1/2	PSI	Temp (degC)	Program Used 0/1	Mass CO2 Used lbs	Extraction Efficiency THC	Extraction Efficiency CBD	Extraction Efficiency CBN	Input Mass (g)	Output Spent Mass (g)	% Mass Extracted	Spent % (as is) THC	Spent % (as is) CBD	Spent % (as is) CBN	Decarb % (as is) THC	Decarb % (as is) CBD	Decarb % (as is) CBN
95	MB	0	776	3	120	1	5000	65	1	68	0.9643	0.9745	0.9571	1618.0000	1373.0000	0.1514	0.1300	0.1970	0.0070	3.6420	7.7160	0.1630
96	HB	0	784	1	120	1	5000	65	1	72	0.8714	1.0000	0.8491	1673.0000	1374.0000	0.1787	2.0190	0.0000	0.0160	15.7020	0.0370	0.1060
97	HB	0	784	3	120	1	5000	65	1	72.5	0.9658	1.0000	1.0000	1821.5000	1470.5000	0.1927	0.5370	0.0000	0.0000	15.7020	0.0370	0.1060
99	HB	0	784	6	120	2	5000	65	1	63	0.9095	1.0000	1.0000	1590.5000	1292.0000	0.1877	1.4210	0.0000	0.0000	15.7020	0.0370	0.1060
101	TI	1	804	1	130	1	5000	65	1	63.5	0.9647	0.9787	0.0000	1631.0000	1335.5000	0.1812	0.0140	0.2360	0.0000	0.3970	11.0920	0.0000
102	TI	1	804	2	140	2	5000	65	1	81	0.9547	0.9828	0.0000	1691.0000	1376.5000	0.1860	0.0180	0.1910	0.0000	0.3970	11.0920	0.0000
103	TI	1	804	3	140	1	5000	65	1	72.5	0.9547	0.9788	0.0000	1699.5000	1376.5000	0.1901	0.0180	0.2350	0.0000	0.3970	11.0920	0.0000
105	TI	1	805	1	140	1	5000	65	1	68	0.8900	0.9394	0.0000	1580.0000	1323.0000	0.1627	0.0430	0.5300	0.0000	0.3910	8.7410	0.0000
106	TI	1	805	2	140	1	5000	65	1	51.5	0.9463	0.9628	0.0000	1676.0000	1370.0000	0.1826	0.0210	0.3250	0.0000	0.3910	8.7410	0.0000
108	TI	1	805	4	140	1	5000	65	1	66.5	0.9488	0.9657	0.0000	1321.5000	1036.5000	0.2157	0.0200	0.3000	0.0000	0.3910	8.7410	0.0000
109	TI	1	806	2	120	2	5000	65	1	59.5	0.9752	0.9804	1.0000	1610.5000	1337.0000	0.1698	0.0100	0.2270	0.0000	0.4040	11.6000	0.0100
110	TI	1	806	3	120	1	5000	65	1	71.5	0.9752	0.9796	1.0000	1630.0000	1334.5000	0.1813	0.0100	0.2370	0.0000	0.4040	11.6000	0.0100
111	TI	1	815	3	120	1	5000	65	1	70	0.9704	0.9787	1.0000	1402.0000	1155.0000	0.1762	0.0110	0.2380	0.0000	0.3710	11.1570	0.0070
112	TI	1	815	4	120	2	5000	65	1	51.5	0.8868	0.9718	1.0000	1122.5000	930.0000	0.1715	0.0420	0.3150	0.0000	0.3710	11.1570	0.0070
113	NL	0	466	1	120	1	5000	65	1	56	0.7878	1.0000	0.6192	1656.5000	1433.0000	0.1349	2.2230	0.0000	0.0910	10.4740	0.0033	0.2390
114	NL	0	466	2	120	1	5000	65	1	39.5	0.9601	1.0000	0.8996	1677.0000	1242.5000	0.2591	0.4180	0.0000	0.0240	10.4740	0.0033	0.2390
115	NL	0	466	3	120	2	5000	65	1	75.5	0.9842	1.0000	0.9874	1553.0000	1271.0000	0.1816	0.1660	0.0000	0.0030	10.4740	0.0033	0.2390
117	NL	0	466	4	60	1	5000	65	1	59.5	0.9941	1.0000	0.9833	1742.5000	1387.0000	0.2040	0.0620	0.0000	0.0040	10.4740	0.0033	0.2390
118	NL	0	467	1	165	1	5000	65	1	70.5	0.7630	1.0000	0.5233	1508.0000	1285.5000	0.1475	2.9080	0.0000	0.0920	12.2700	0.0490	0.1930
121	NL	0	467	3	140	1	5000	65	1	70.5	0.9752	1.0000	0.9378	1534.0000	1234.0000	0.1956	0.3040	0.0000	0.0120	12.2700	0.0490	0.1930
123	NL	0	467	5	125	1	5000	65	1	72.5	0.9779	1.0000	0.9378	1515.5000	1251.5000	0.1742	0.2710	0.0000	0.0120	12.2700	0.0490	0.1930
124	NL 	0	771	1	135	1	5000	65	1	70.5	0.9501	1.0000	0.8970	1461.5000	1209.5000	0.1724	0.5920	0.0000	0.0170	11.8640	0.0037	0.1650
125	NL	0	771	2	135	2	5000	65	1	74	0.9268	1.0000	0.8606	1459.5000	1180.0000	0.1915	0.8690	0.0000	0.0230	11.8640	0.0037	0.1650
126	NL	0	771	3	150	1	5000	65	1	74.5	0.9463	1.0000	0.8667	1508.5000	1269.5000	0.1584	0.6370	0.0000	0.0220	11.8640	0.0037	0.1650
127	NL	0	771	4	125	2	5000	65	1	81.5	0.9685	1.0000	0.9394	1510.5000	1239.0000	0.1797	0.3740	0.0000	0.0100	11.8640	0.0037	0.1650
128	NL	0	771	5	135	1	5000	65	1	76	0.9700	1.0000	0.9394	561.5000	368.5000	0.3437	0.3560	0.0000	0.0100	11.8640	0.0037	0.1650
129	NL	0	772	1	125	1	5000	65	1	75	0.9559	1.0000	0.8623	1510.0000	1284.5000	0.1493	0.5450	0.0000	0.0303	12.3510	0.0050	0.2200
130	NL	0	772	2	265	2	5000	65	1	75	0.8562	1.0000	1.0000	1507.0000	1270.0000	0.1573	1.7760	0.0000	0.0000	12.3510	0.0050	0.2200
131	NL	0	772	3	135	1	5000	65	1	94.5	0.9766	1.0000	0.9409	1508.0000	1243.5000	0.1754	0.2890	0.0000	0.0130	12.3510	0.0050	0.2200
132	NL	0	772	4	239	2	5000	65	1	75	0.8491	1.0000	0.8182	1513.0000	1286.5000	0.1497	1.8640	0.0000	0.0400	12.3510	0.0050	0.2200
133	NL	0	772	5	135	1	5000	65	1	76.5	0.9769	1.0000	0.9727	1398.5000	1131.5000	0.1909	0.2850	0.0000	0.0060	12.3510	0.0050	0.2200
134	NL	0	772	6	145	2	5000	65	1	68.5	0.9063	1.0000	0.9091	1328.5000	1111.5000	0.1633	1.1570	0.0000	0.0200	12.3510	0.0050	0.2200
135	NL	0	773	1	220	1	5000	65	1	70	0.8361	1.0000	-14.4783	1390.5000	1152.5000	0.1712	1.9003	0.0000	0.0356	11.5960	0.0030	0.0023
136	NL	0	773	2	120	2	5000	65	1	70	0.8189	1.0000	-14.5217	1501.0000	1279.0000	0.1479	2.1005	0.0000	0.0357	11.5960	0.0030	0.0023
139	SB	0	476	1	150	1	5000	65	1	75.5	0.8655	0.0000	0.7470	1362.0000	1100.0000	0.1924	1.7916	0.0043	0.0711	13.3210	0.0000	0.2810
140	SB	0	476	2	150	2	5000	65	1	85.5	0.9098	0.0000	0.7993	1476.0000	1198.0000	0.1883	1.2017	0.0035	0.0564	13.3210	0.0000	0.2810
141	SB	0	476	3	195	1	5000	65	1	78.5	0.9534	0.0000	0.8890	1363.5000	1103.5000	0.1907	0.6206	0.0000	0.0312	13.3210	0.0000	0.2810
142	SB	0	476	4	180	2	5000	65	1	83	0.8835	0.0000	0.7552	1579.5000	1281.0000	0.1890	1.5519	0.0000	0.0688	13.3210	0.0000	0.2810
143	SB	0	476	5	165	1	5000	65	1	67	0.8744	0.0000	0.7324	1455.5000	1219.0000	0.1625	1.6727	0.0039	0.0752	13.3210	0.0000	0.2810
144	SB	0	476	6	121	2	5000	65	1	65	0.8605	0.0000	0.7302	1345.5000	1126.0000	0.1631	1.8589	0.0039	0.0758	13.3210	0.0000	0.2810
145	TI	1	857	3	120	1	5000	65	1	66.5	0.9885	0.9747	1.0000	1330.5000	1101.0000	0.1725	0.0059	0.2697	0.0000	0.5150	10.6420	0.0130
146	TI	1	857	4	180	2	5000	65	1	55.5	1.0000	0.9839	1.0000	1512.0000	1244.0000	0.1772	0.0000	0.1715	0.0000	0.5150	10.6420	0.0130
148	TI	1	857(2)	1	105	1	5000	65	1	65	0.9709	0.9702	1.0000	1583.5000	1325.0000	0.1632	0.0150	0.3168	0.0000	0.5150	10.6420	0.0130
149	TI	1	857(2)	2	120	2	5000	65	1	55	0.9860	0.9821	1.0000	1618.0000	1360.0000	0.1595	0.0072	0.1910	0.0000	0.5150	10.6420	0.0130
150	TI	1	857(2)	3	120	1	5000	65	1	56	0.9674	0.9788	1.0000	1562.5000	1321.5000	0.1542	0.0168	0.2260	0.0000	0.5150	10.6420	0.0130
151	TI	1	858	1	130	1	5000	65	1	79.5	0.0000	0.9562	1.0000	1502.0000	1239.0000	0.1751	0.0291	0.4837	0.0000	0.0000	11.0480	0.0140
152	TI	1	858	2	105	2	5000	65	1	60	0.0000	0.9577	1.0000	1505.0000	1270.5000	0.1558	0.0321	0.4672	0.0000	0.0000	11.0480	0.0140
153	TI	1	858	3	105	1	5000	65	1	60.5	0.0000	0.9695	1.0000	1516.5000	1291.5000	0.1484	0.0183	0.3365	0.0000	0.0000	11.0480	0.0140
154	TI	1	858	4	140	2	5000	65	1	57.5	0.0000	0.9522	1.0000	1503.5000	1245.5000	0.1716	0.0321	0.5285	0.0000	0.0000	11.0480	0.0140
155	TI	1	858	5	110	1	5000	65	1	57.5	0.0000	0.9546	1.0000	1503.0000	1275.0000	0.1517	0.0358	0.5016	0.0000	0.0000	11.0480	0.0140
156	TI	1	858	6	140	2	5000	65	1	40.5	0.0000	0.9644	1.0000	564.0000	479.0000	0.1507	0.0259	0.3930	0.0000	0.0000	11.0480	0.0140
157	TI	1	860	1	110	1	5000	65	1	57	0.8512	0.9391	0.0000	1624.5000	1349.0000	0.1696	0.0750	0.6784	0.0000	0.5040	11.1310	0.0000
158	TI	1	860	4	110	2	5000	65	1	50	0.8788	0.9363	0.0000	1535.0000	1293.0000	0.1577	0.0611	0.7092	0.0000	0.5040	11.1310	0.0000
160	SB	0	543	1	180	1	5000	65	1	81	0.8306	1.0000	-0.0028	1562.0000	1307.0000	0.1633	2.3100	0.0000	0.1424	13.6400	0.0370	0.1420
161	SB	0	543	4	150	2	5000	65	1	70	0.8586	1.0000	0.1838	1494.0000	1281.5000	0.1422	1.9290	0.0000	0.1159	13.6400	0.0370	0.1420
163	SB	0	543	6	105	1	5000	65	1	65	0.8287	1.0000	-0.0577	950.0000	826.0000	0.1305	2.3370	0.0000	0.1502	13.6400	0.0370	0.1420
164	N2	1	473	1	90	1	5000	65	1	52	0.9677	0.8889	0.4462	1662.0000	1367.0000	0.1775	0.0122	1.2766	0.0144	0.3780	11.4860	0.0260
165	N2	1	473	2	120	2	5000	65	1	52	0.8571	0.9295	0.4615	1662.0000	1351.5000	0.1868	0.0540	0.8100	0.0140	0.3780	11.4860	0.0260
168	BW	1	891	1	150	1	5000	65	1	105.5	0.8640	0.9387	0.7741	1780.0000	1355.5000	0.2385	0.9067	0.6560	0.0061	6.6660	10.7100	0.0270
169	BW	1	891	3	130	1	5000	65	1	69	0.8355	0.9366	0.7370	1680.0000	1304.0000	0.2238	1.0966	0.6786	0.0071	6.6660	10.7100	0.0270
170	BW	1	891	4	130	1	5000	65	1	60	0.7564	0.8917	0.5852	1839.0000	1456.0000	0.2083	1.6236	1.1599	0.0112	6.6660	10.7100	0.0270
171	BW	1	891	6	110	1	5000	65	1	55	0.7239	0.8666	1.0000	1684.0000	1351.5000	0.1974	1.8408	1.4285	0.0000	6.6660	10.7100	0.0270
173	BW	1	891	8	110	1	5000	65	1	55	0.8400	0.9369	0.7333	1665.0000	1289.5000	0.2255	1.0664	0.6762	0.0072	6.6660	10.7100	0.0270
174	SK 	0	897	1	130	2	5000	65	1	65	0.8916	1.0000	0.8347	1640.5000	1324.0000	0.1929	1.3556	0.0000	0.0195	12.5040	0.0035	0.1180
175	SK 	0	897	2	130	1	5000	65	1	75	0.8922	1.0000	0.8347	1630.5000	1323.0000	0.1886	1.3484	0.0000	0.0195	12.5040	0.0035	0.1180
177	N2	1	472	1	130	1	5000	65	1	56.5	0.8707	0.9327	0.6258	1597.0000	1325.5000	0.1700	0.0476	0.6172	0.0116	0.3680	9.1720	0.0310
178	N2	1	472	2	140	2	5000	65	1	50	0.8457	0.9300	0.5355	1596.0000	1335.0000	0.1635	0.0568	0.6416	0.0144	0.3680	9.1720	0.0310
179	N2	1	472	3	150	2	5000	65	1	55	0.8313	0.9100	0.4968	1665.0000	1409.5000	0.1535	0.0621	0.8254	0.0156	0.3680	9.1720	0.0310
180	N2 	1	472	4	120	2	5000	65	1	55	0.8902	0.9451	0.5935	1641.5000	1378.0000	0.1605	0.0404	0.5039	0.0126	0.3680	9.1720	0.0310
181	N2	1	472	5	150	1	5000	65	1	60	0.7918	0.8901	0.4935	1521.5000	1317.0000	0.1344	0.0766	1.0082	0.0157	0.3680	9.1720	0.0310
182	BW	1	900	1	110	1	5000	65	1	75	0.8514	0.9435	-1.2308	1761.0000	1372.5000	0.2206	0.9704	0.6055	0.0087	6.5290	10.7080	0.0039
183	BW	1	900	7	250	1	5000	65	1	83	0.9242	0.9637	0.1026	1777.0000	1394.5000	0.2153	0.4950	0.3887	0.0035	6.5290	10.7080	0.0039
184	HB	0	854	1	185	1	4300	65	1	75	0.7932	0.7833	0.7276	1501.5000	1335.0000	0.1109	2.1458	0.0078	0.1114	10.3760	0.0360	0.4090
185	HB	0	854	4	210	2	4300	65	1	83.5	0.8006	1.0000	0.7259	1503.5000	1308.0000	0.1300	2.0686	0.0000	0.1121	10.3760	0.0360	0.4090
187	HB	0	854	7	180	1	5000	65	1	90	0.9165	1.0000	0.8753	1387.0000	1157.0000	0.1658	0.8664	0.0000	0.0510	10.3760	0.0360	0.4090
189	BW	1	911	1	130	1	5000	65	1	65	0.9392	0.9768	1.0000	1540.0000	1221.5000	0.2068	0.3749	0.2264	0.0000	6.1650	9.7710	0.0320
190	BW	1	911	4	105	1	5000	65	1	60	0.9714	0.9865	1.0000	1481.5000	1170.0000	0.2103	0.1766	0.1323	0.0000	6.1650	9.7710	0.0320
191	BW	1	911	5	130	2	5000	65	1	59	0.9616	0.9796	1.0000	1331.0000	1048.0000	0.2126	0.2367	0.1996	0.0000	6.1650	9.7710	0.0320
192	BW	1	911	6	120	1	5000	65	1	55	0.9187	0.9643	1.0000	1518.0000	1189.0000	0.2167	0.5014	0.3486	0.0000	6.1650	9.7710	0.0320
193	BW	1	911	9	95	1	5000	65	1	55	0.9569	0.9758	0.6563	1638.0000	1302.0000	0.2051	0.2655	0.2366	0.0110	6.1650	9.7710	0.0320
194	BW	1	911	10	100	2	5000	65	1	55	0.9558	0.9763	0.8938	1622.0000	1285.5000	0.2075	0.2724	0.2317	0.0034	6.1650	9.7710	0.0320
195	BW	1	911	11	100	1	5000	65	1	50.5	0.9746	0.9821	1.0000	1222.5000	950.5000	0.2225	0.1566	0.1746	0.0000	6.1650	9.7710	0.0320
196	BW	1	920	1	90	1	5000	65	1	55	0.9515	0.9735	0.7862	1487.0000	1171.5000	0.2122	0.2668	0.2468	0.0062	5.4970	9.3240	0.0290
197	BW	1	920	2	125	2	5000	65	1	55	0.9795	0.9855	0.7897	1473.0000	1133.5000	0.2305	0.1125	0.1353	0.0061	5.4970	9.3240	0.0290
198	BW	1	920	3	230	1	5000	65	1	55	0.9761	0.9912	0.7862	1549.5000	1180.0000	0.2385	0.1316	0.0825	0.0062	5.4970	9.3240	0.0290
199	BW	1	920	4	90	2	5000	65	1	55	0.9676	0.9816	0.8069	1567.5000	1232.0000	0.2140	0.1780	0.1720	0.0056	5.4970	9.3240	0.0290
200	BW	1	920	5	100	1	5000	65	1	55	0.9368	0.9683	0.8724	1474.0000	1152.0000	0.2185	0.3475	0.2960	0.0037	5.4970	9.3240	0.0290
201	BW	1	920	6	120	2	5000	65	1	55	0.9846	0.9889	0.7621	1570.5000	1209.5000	0.2299	0.0845	0.1036	0.0069	5.4970	9.3240	0.0290
202	BW	1	920	7	140	1	5000	65	1	55	0.9891	0.9932	0.8034	1558.5000	1199.5000	0.2303	0.0597	0.0636	0.0057	5.4970	9.3240	0.0290
203	SK 	0	899	1	140	1	5000	65	1	80.5	0.9813	1.0000	0.9538	1557.5000	1371.0000	0.1197	0.1809	0.0000	0.0043	9.6578	0.0230	0.0930
204	SK 	0	899	2	140	2	5000	65	1	72	0.9833	1.0000	0.9419	1554.5000	1317.5000	0.1525	0.1615	0.0000	0.0054	9.6578	0.0230	0.0930
205	SK 	0	899	3	160	1	5000	65	1	65	0.9863	1.0000	0.9333	1555.0000	1321.0000	0.1505	0.1324	0.0000	0.0062	9.6578	0.0230	0.0930
206	SK 	0	899	5	140	1	5000	65	1	88	0.9653	1.0000	0.9505	1572.0000	1359.0000	0.1355	0.3351	0.0000	0.0046	9.6578	0.0230	0.0930
207	SK 	0	899	6	140	2	5000	65	1	81	0.9864	1.0000	0.9548	1348.5000	1149.0000	0.1479	0.1314	0.0000	0.0042	9.6578	0.0230	0.0930
208	NL	0	903	1	145	1	5000	65	1	82	0.9788	1.0000	0.9466	1358.6000	1155.0000	0.1499	0.1993	0.0000	0.0135	9.4210	0.0250	0.2530
209	NL	0	903	2	180	2	5000	65	1	69	0.9920	1.0000	0.9688	1338.0000	1146.0000	0.1435	0.0750	0.0000	0.0079	9.4210	0.0250	0.2530
