Database ID,WO Type,Date Opened,Input Bulk Lot ID(s),Input Bulk Lot Type(s),Production,Total WO Input Weight,Total Finalized Weight,Output Bulk Lot ID(s),Output Bulk Lot Type(s),Production,Output Weight per Bulk Lot,Total Output Weight,Date Closed
32,Oil - Decarboxylation,12/28/2016 10:30,Research Blend - 1 - Dec. 19 2016,Oil,R&D Oil Research Blends,9435,8425,Research Blend - 1 - Dec. 19 2016,Oil,R&D Oil Research Blends,8425,8425,12/28/2016 10:39
33,Oil - Decarboxylation,12/28/2016 10:35,Research Blend - 1 - Dec. 19 2016,Oil,R&D Oil Research Blends,2190,1955,Research Blend - 1 - Dec. 19 2016,Oil,R&D Oil Research Blends,1955,1955,12/28/2016 10:41
51,Oil - Decarboxylation,1/12/2017 19:41,Research Blend-2-019,Oil,R&D Oil Research Blends,1200,1103,Research Blend-2-019,Oil,R&D Oil Research Blends,1103,1103,1/12/2017 19:42
52,Oil - Decarboxylation,1/12/2017 20:24,Research Blend-02-032,Oil,R&D Oil Research Blends,1200,1066,Research Blend-2-032(2),Oil,R&D Oil Research Blends,1066,1066,1/12/2017 20:28
94,Oil - Decarboxylation,2/16/2017 10:42,125,Oil,R&D Oil Jesus OG,9988.5,8803.5,125,Oil,R&D Oil Jesus OG,8803.5,8803.5,2/16/2017 10:50
205,Oil - Decarboxylation,5/1/2017 12:57,197,Oil,Oil Black Widow,4711.5,4028.5,197,Oil,Oil Black Widow,4028.5,4028.5,
273,Oil - Decarboxylation,6/20/2017 15:15,248,Oil,R&D Oil Treasure Island,1881.5,1601.5,248,Oil,R&D Oil Treasure Island,1601.5,1601.5,6/20/2017 15:17
289,Oil - Decarboxylation,7/13/2017 21:59,254,Oil,Oil Jesus OG,10026.5,8782.5,254,Oil,Oil Jesus OG,8782.5,8782.5,7/13/2017 22:04
291,Oil - Decarboxylation,7/15/2017 22:29,255,Oil,Oil Jesus OG,9280,8120,255,Oil,Oil Jesus OG,8120,8120,7/15/2017 22:40
293,Oil - Decarboxylation,7/18/2017 12:08,260,Oil,Oil Sativa Blend,19831,17739,260,Oil,Oil Sativa Blend,17739,17739,7/18/2017 14:13
318,Oil - Decarboxylation,8/5/2017 20:52,275,Oil,R&D Oil Alien Dawg,859.5,726,275,Oil,R&D Oil Alien Dawg,726,726,8/5/2017 20:54
861,Oil - Decarboxylation,10/16/2017 9:11,374,Oil,Oil Sativa Blend,4765.5,4159,374,Oil,Oil Sativa Blend,4159,4159,10/16/2017 9:15
884,Oil - Decarboxylation,10/17/2017 11:26,374,Oil,Oil Sativa Blend,4772,4180,374,Oil,Oil Sativa Blend,4180,4180,10/17/2017 11:27
877,Oil - Decarboxylation,10/17/2017 9:18,374,Oil,Oil Sativa Blend,4772,4180,374,Oil,Oil Sativa Blend,4180,4180,10/17/2017 9:20
950,Oil - Decarboxylation,10/26/2017 13:08,383,Oil,Oil Alien Dawg (APH),5219,4398,383,Oil,Oil Alien Dawg (APH),4398,4398,10/26/2017 13:10
953,Oil - Decarboxylation,10/26/2017 15:58,341,Oil,Oil Black Widow,5708.5,4910.5,341,Oil,Oil Black Widow,4910.5,4910.5,10/26/2017 16:00
963,Oil - Decarboxylation,10/27/2017 18:54,340,Oil,Oil Black Widow,8414,7285,340,Oil,Oil Black Widow,7285,7285,10/27/2017 18:55
998,Oil - Decarboxylation,10/31/2017 16:46,372,Oil,Oil Alien Dawg (APH),6439,5429,372,Oil,Oil Alien Dawg (APH),5429,5429,10/31/2017 16:49
999,Oil - Decarboxylation,10/31/2017 18:16,373,Oil,Oil Alien Dawg (APH),11975,10244.5,373,Oil,Oil Alien Dawg (APH),10244.5,10244.5,10/31/2017 18:18
1008,Oil - Decarboxylation,11/1/2017 17:46,339,Oil,Oil Black Widow,9608.5,8350.5,339,Oil,Oil Black Widow,8350.5,8350.5,11/1/2017 17:47
1006,Oil - Decarboxylation,11/1/2017 16:14,338,Oil,Oil Black Widow,10820.5,9481.5,338,Oil,Oil Black Widow,9481.5,9481.5,11/1/2017 16:18
1053,Oil - Decarboxylation,11/10/2017 15:25,379,Oil,Oil Treasure Island (APH),6561.03,5665.5,379,Oil,Oil Treasure Island (APH),5665.5,5665.5,11/10/2017 15:27
