Database ID,WO Name,WO Type,Location,Date Opened,User Opened,Input Bulk Lot ID(s),Input Bulk Lot Type(s),Production,Input Weight per Bulk Lot,Input Volume per Bulk Lot,Total WO Input Weight,Total WO Input Volume,Finalized,Total Finalized Weight,Total Finalized Volume,Output Bulk Lot ID(s),Output Bulk Lot Type(s),Production,Output Weight per Bulk Lot,Output Volume per Bulk Lot,Total Output Weight,Total Output Volume,Variance Weight %,Variance Volume %,Date Closed,User Closed
4441,Pre-Dilution HB-1018-PD,Oil - PreDilution,,02/04/2019 10:12,Paul Schapurga,1018,Dried,Oil Hybrid Blend,1902.5,0,1902.5,0,FALSE,,,1018,Dried,Oil Hybrid Blend,10375.5,10921.5,10375.5,10921.5,N/A,N/A,,
4440,Rotary Evaporation HB-1018-R,Oil - Rotary Evaporation,,02/04/2019 10:08,Paul Schapurga,1018,Dried,Oil Hybrid Blend,29857,0,29857,0,TRUE,1902.5,0,1018,Dried,Oil Hybrid Blend,1902.5,0,1902.5,0,93.63,N/A,02/04/2019 10:08,Paul Schapurga
4439,Second Pass HB-1018-WII,Oil - Winterization/Filtration,,02/04/2019 10:04,Paul Schapurga,1018,Dried,Oil Hybrid Blend,1935.5,0,1935.5,0,TRUE,29857,0,1018,Dried,Oil Hybrid Blend,29857,0,29857,0,N/A,N/A,02/04/2019 10:07,Paul Schapurga
4438,Extraction HB-1018-Cr,Oil - Extraction,,02/04/2019 10:01,Paul Schapurga,1018,Dried,Oil Hybrid Blend,15264.13,0,15264.13,0,TRUE,1935.5,0,1018,Dried,Oil Hybrid Blend,1935.5,0,1935.5,0,87.32,N/A,02/04/2019 10:03,Paul Schapurga
4437,Encapsulation and Sealing,Oil - Encapsulation and Sealing,,02/04/2019 9:09,Tyler Mcgann,1007-1,Oil,Oil Nebula II,18588,19566,18588,19566,TRUE,18588,19566,1007-1,Oil,Oil Nebula II,18588,19566,18588,19566,N/A,N/A,02/04/2019 9:12,Tyler Mcgann
4436,Transfering using proper nomenclature SK-1064-1-2,Oil - Dilution,,02/04/2019 8:09,Paul Schapurga,1064-2,Oil,Oil Sour Kush,5001,5264,5001,5264,TRUE,5001,5264,1064-1-2,Oil,Oil Sour Kush,5001,5264,5001,5264,N/A,N/A,02/04/2019 8:09,Paul Schapurga
4435,Bulk Transfer SK-1064-2,Oil - Dilution,,01/04/2019 14:53,Paul Schapurga,1064-1,Oil,Oil Sour Kush,5001,5264,5001,5264,TRUE,5001,5264,1064-2,Oil,Oil Sour Kush,5001,5264,5001,5264,N/A,N/A,01/04/2019 14:58,Paul Schapurga
4434,A2 Transfer TI-1118-B,Oil - Transfer to Extraction Department,,29/03/2019 16:08,Marie Boullion,1118,Dried,DP Treasure Island,18945,0,18945,0,TRUE,18089.5,0,1118,Dried,DP Treasure Island,18089.5,0,18089.5,0,4.52,N/A,29/03/2019 16:09,Marie Boullion
4433,A1 Intake TI-1118-B,Allocate for Extraction,,29/03/2019 16:06,Marie Boullion,1117,Dried,DP Treasure Island,18084.2,0,18084.2,0,TRUE,18945,0,1118,Dried,DP Treasure Island,18945,0,18945,0,N/A,N/A,29/03/2019 16:07,Marie Boullion
4432,Dilution N2-1007-2,Oil - Dilution,,28/03/2019 8:27,Paul Schapurga,1007,Oil,Oil Nebula II,10167,10702,10167,10702,TRUE,59696,62838,1007-2,Oil,Oil Nebula II,59696,62838,59696,62838,N/A,N/A,28/03/2019 8:28,Paul Schapurga
4431,Pre-Dilutes Merged HB-1016-PD,Oil - PreDilution,,27/03/2019 11:53,Paul Schapurga,1016(1),Dried,Oil Hybrid Blend,7393,7782,13876.5,14717,TRUE,13876.5,14717,1016-1,Oil,Oil Hybrid Blend,13876.5,14717,13876.5,14717,N/A,N/A,27/03/2019 11:54,Paul Schapurga
4431,Pre-Dilutes Merged HB-1016-PD,Oil - PreDilution,,27/03/2019 11:53,Paul Schapurga,1016,Dried,Oil Hybrid Blend,6483.5,6935,13876.5,14717,TRUE,13876.5,14717,1016-1,Oil,Oil Hybrid Blend,13876.5,14717,13876.5,14717,N/A,N/A,27/03/2019 11:54,Paul Schapurga
4430,Pre-Dilution HB-1016-PD,Oil - PreDilution,,27/03/2019 11:50,Paul Schapurga,1016(1),Dried,Oil Hybrid Blend,1055,0,1055,0,TRUE,7393,7782,1016(1),Dried,Oil Hybrid Blend,7393,7782,7393,7782,N/A,N/A,27/03/2019 11:51,Paul Schapurga
4429,Evaporation HB-1016(1)-R,Oil - Rotary Evaporation,,26/03/2019 14:25,Marie Boullion,1016(1),Dried,Oil Hybrid Blend,20666,0,20666,0,TRUE,1055,0,1016(1),Dried,Oil Hybrid Blend,1055,0,1055,0,94.89,N/A,26/03/2019 14:25,Marie Boullion
4428,Second Pass HB-1016-WII,Oil - Winterization/Filtration,,26/03/2019 13:21,Marie Boullion,1016(1),Dried,Oil Hybrid Blend,26971.5,0,26971.5,0,TRUE,20666,0,1016(1),Dried,Oil Hybrid Blend,20666,0,20666,0,23.38,N/A,26/03/2019 13:22,Marie Boullion
4427,Winterization HB-1016-WI,Oil - Winterization,,26/03/2019 13:19,Marie Boullion,1016(1),Dried,Oil Hybrid Blend,629.5,0,629.5,0,TRUE,26971.5,0,1016(1),Dried,Oil Hybrid Blend,26971.5,0,26971.5,0,N/A,N/A,26/03/2019 13:20,Marie Boullion
4426,Extraction Corrction to Weight HB-1016-CR,Oil - Extraction,,26/03/2019 13:18,Marie Boullion,1016(1),Dried,Oil Hybrid Blend,405,0,405,0,TRUE,629.5,0,1016(1),Dried,Oil Hybrid Blend,629.5,0,629.5,0,N/A,N/A,26/03/2019 13:18,Marie Boullion
4425,Pre-Dilution HB-1016-PD,Oil - PreDilution,,25/03/2019 10:06,Paul Schapurga,1016,Dried,Oil Hybrid Blend,1050,0,1050,0,TRUE,6588.5,6935,1016,Dried,Oil Hybrid Blend,6588.5,6935,6588.5,6935,N/A,N/A,25/03/2019 10:08,Paul Schapurga
4424,Rotary Evaporation HB-1016-R,Oil - Rotary Evaporation,,25/03/2019 10:05,Paul Schapurga,1016,Dried,Oil Hybrid Blend,16510.5,0,16510.5,0,TRUE,1050,0,1016,Dried,Oil Hybrid Blend,1050,0,1050,0,93.64,N/A,25/03/2019 10:06,Paul Schapurga
4423,Winterization HB-1016-W,Oil - Winterization/Filtration,,25/03/2019 10:03,Paul Schapurga,1016,Dried,Oil Hybrid Blend,1157,0,1157,0,TRUE,16510.5,0,1016,Dried,Oil Hybrid Blend,16510.5,0,16510.5,0,N/A,N/A,25/03/2019 10:04,Paul Schapurga
4422,Process pre-roll intake and milling,Process - Pre-Roll Intake & Milling,,22/03/2019 10:34,Heather Vanderpols,797,Dried,DP Sour Kush-15,236.5,0,236.5,0,TRUE,220.2,0,797,Dried,DP Sour Kush-15,220.2,0,220.2,0,6.89,N/A,22/03/2019 10:34,Heather Vanderpols
4421,process pre-roll intake and milling,Process - Pre-Roll Intake & Milling,,22/03/2019 8:38,Heather Vanderpols,794,Dried,DP Sour Kush-15,418,0,418,0,TRUE,416,0,794,Dried,DP Sour Kush-15,416,0,416,0,0.48,N/A,22/03/2019 8:39,Heather Vanderpols
4420,End of lot transfer to child lot for extraction,Process - Shake Transfer,,22/03/2019 8:30,Heather Vanderpols,794,Dried,DP Sour Kush-15,94.1,0,94.1,0,TRUE,94.1,0,794(1),Dried,DP Sour Kush-15,94.1,0,94.1,0,N/A,N/A,22/03/2019 8:32,Heather Vanderpols
4419,Extraction HB-1016-Cr,Oil - Extraction,,21/03/2019 16:10,Paul Schapurga,1016,Dried,Oil Hybrid Blend,9503.5,0,9503.5,0,TRUE,1157,0,1016,Dried,Oil Hybrid Blend,1157,0,1157,0,87.83,N/A,21/03/2019 16:11,Paul Schapurga
4418,Process Pre-roll intake and Milling,Process - Pre-Roll Intake & Milling,,21/03/2019 14:59,Heather Vanderpols,809,Dried,DI Delahaze-S-32-31 (Larry OG),179.4,0,179.4,0,TRUE,175.7,0,809,Dried,DI Delahaze-S-32-31 (Larry OG),175.7,0,175.7,0,2.06,N/A,21/03/2019 15:00,Heather Vanderpols
